,time,lat,lon,depth,xx,yy
0,2018-10-15T11:07:30.163800Z,53.788733,-2.957787,1.624219,336996.61697,432916.343885
1,2018-10-15T15:19:54.041100Z,53.788426,-2.959865,1.813281,336859.256147,432884.037679
2,2018-10-15T06:36:39.231400Z,53.788963,-2.96337,2.921875,336629.155337,432946.909701
3,2018-10-16T11:36:08.959900Z,53.791188,-2.953111,2.552344,337308.34002,433185.329146
4,2018-10-16T11:41:46.889900Z,53.788503,-2.961553,1.976563,336748.165675,432894.109353
5,2018-10-16T14:06:43.842900Z,53.787582,-2.969343,2.526563,336233.557493,432798.623331
6,2018-10-16T14:20:56.753800Z,53.794716,-2.959601,2.414844,336886.108881,433583.597673
7,2018-10-16T14:26:02.472500Z,53.78858,-2.960384,1.658594,336825.295893,432901.63343
8,2018-10-16T14:37:50.516600Z,53.783594,-2.959998,1.735938,336843.224146,432346.5716
9,2018-10-16T17:55:03.235700Z,53.780065,-2.951432,2.40625,337402.360944,431946.354176
10,2018-10-16T21:20:11.148200Z,53.787429,-2.970122,2.54375,336182.002865,432782.302404
11,2018-10-16T06:34:49.573500Z,53.792492,-2.944929,2.251563,337849.271771,433323.19995
12,2018-10-17T16:40:33.158400Z,53.798168,-2.955053,1.615625,337190.856846,433963.610574
13,2018-10-17T16:42:43.907500Z,53.789577,-2.943634,2.371875,337930.267832,432997.755811
14,2018-10-17T17:03:14.252700Z,53.787122,-2.974797,2.440625,335873.534899,432752.366408
15,2018-10-17T17:10:36.933200Z,53.786048,-2.974537,2.010938,335889.024031,432632.643402
16,2018-10-17T17:11:36.684800Z,53.788426,-2.961942,1.967969,336722.422071,432885.889919
17,2018-10-17T17:35:09.802400Z,53.792492,-2.957395,2.973438,337028.082519,433334.203782
18,2018-10-17T18:10:14.822400Z,53.790037,-2.967265,1.667188,336374.181813,433069.887093
19,2018-10-17T18:19:26.747200Z,53.788618,-2.95993,1.783203,336855.262763,432905.456569
20,2018-10-17T18:53:11.123100Z,53.797554,-2.956092,2.303125,337121.502534,433896.221124
21,2018-10-17T18:53:11.431300Z,53.788886,-2.959345,1.744531,336894.205716,432934.75194
22,2018-10-17T19:27:12.237700Z,53.788733,-2.96376,1.796094,336603.114815,432921.669786
23,2018-10-17T19:53:02.451700Z,53.788733,-2.97155,1.744531,336089.908734,432928.66558
24,2018-10-17T20:06:20.216800Z,53.78858,-2.961682,1.882031,336739.783145,432902.791123
25,2018-10-17T20:46:36.686900Z,53.78858,-2.960124,1.796094,336842.424796,432901.401723
26,2018-10-17T23:33:19.924200Z,53.788158,-2.963435,2.075391,336623.657632,432857.407464
27,2018-10-18T14:51:16.452400Z,53.789884,-2.986741,1.71875,335090.904984,433070.524163
28,2018-10-18T15:00:58.650200Z,53.799702,-2.957649,1.58125,337022.172968,434136.580132
29,2018-10-18T15:15:22.102200Z,53.789117,-2.960513,1.839063,336817.605717,432961.492421
30,2018-10-18T15:21:41.169500Z,53.788771,-2.961098,1.903516,336778.544997,432923.519785
31,2018-10-18T16:54:20.342800Z,53.788503,-2.960514,1.839063,336816.615527,432893.182663
32,2018-10-18T17:01:13.687800Z,53.7895,-2.958046,1.417969,336980.705679,433001.906846
33,2018-10-18T17:35:00.537900Z,53.787506,-2.961683,1.916406,336738.098524,432783.304033
34,2018-10-18T01:18:27.795200Z,53.792568,-2.963757,1.967969,336609.105254,433348.330532
35,2018-10-18T21:10:47.334300Z,53.791341,-2.964018,2.208594,336590.058181,433212.053928
36,2018-10-18T21:49:54.840000Z,53.787736,-2.969603,2.578125,336216.662218,432815.990538
37,2018-10-18T22:06:18.376000Z,53.788273,-2.96376,2.174219,336602.419998,432870.492443
38,2018-10-18T22:18:43.661000Z,53.784821,-2.962074,2.010938,336708.290237,432484.933225
39,2018-10-18T23:45:06.173600Z,53.78881,-2.959994,2.045313,336851.3353,432926.874573
40,2018-10-19T09:53:01.848100Z,53.788119,-2.964539,2.157031,336550.866013,432854.05621
41,2018-10-19T11:10:30.868200Z,53.790958,-2.959473,2.423438,336888.88892,433165.386603
42,2018-10-19T11:14:22.617800Z,53.788196,-2.958956,1.735938,336918.795975,432857.639623
43,2018-10-19T11:19:20.470300Z,53.791648,-2.957785,1.658594,337001.124556,433240.650962
44,2018-10-19T11:22:57.990300Z,53.789232,-2.954606,1.396484,337206.928394,432969.037356
45,2018-10-19T11:24:38.840700Z,53.788963,-2.951944,1.065625,337381.898057,432936.754631
46,2018-10-19T07:24:29.675300Z,53.788273,-2.960904,1.882031,336790.575748,432867.941712
47,2018-10-19T08:21:19.964500Z,53.788503,-2.959475,1.770312,336885.065386,432892.256974
48,2018-10-19T08:32:37.259700Z,53.789117,-2.958955,2.354688,336920.246067,432960.104719
49,2018-10-20T10:41:09.714600Z,53.798628,-2.960507,1.873438,336832.319596,434019.635489
50,2018-10-20T10:41:51.123000Z,53.797554,-2.952976,2.371875,337326.742131,433893.461012
51,2018-10-20T12:38:49.697700Z,53.78858,-2.959865,1.778906,336859.487819,432901.170969
52,2018-10-20T12:43:25.961200Z,53.786662,-2.975056,2.423438,335855.768362,432701.423477
53,2018-10-20T13:13:25.842600Z,53.786202,-2.982587,1.71875,335358.892917,432657.087626
54,2018-10-20T13:38:12.740900Z,53.779145,-2.948837,2.303125,337571.987384,431841.71104
55,2018-10-21T13:26:47.668800Z,53.785972,-2.964021,1.744531,336581.748622,432614.728019
56,2018-10-22T12:22:29.186700Z,53.789232,-2.962656,1.714453,336676.599355,432976.199197
57,2018-10-22T12:27:03.988000Z,53.78858,-2.960644,1.830469,336808.166991,432901.8652
58,2018-10-22T02:12:24.248400Z,53.787966,-2.958826,1.778906,336927.014877,432831.935253
59,2018-10-23T18:10:26.444200Z,53.78858,-2.959345,1.727344,336893.745627,432900.707868
60,2018-10-24T11:14:49.941500Z,53.786355,-2.961035,1.632812,336779.056505,432654.671266
61,2018-10-24T12:48:55.903300Z,53.788656,-2.94727,0.06875,337689.364726,432898.480075
62,2018-10-24T12:53:51.304400Z,53.789577,-2.944672,2.234375,337861.885506,432998.66534
63,2018-10-24T13:16:32.669700Z,53.785742,-2.963112,1.632812,336641.290436,432588.326455
64,2018-10-24T13:50:29.774700Z,53.788656,-2.94727,0.20625,337689.364726,432898.480075
65,2018-10-24T13:55:45.666500Z,53.787046,-2.965319,1.744531,336497.855424,432735.378039
66,2018-10-24T14:33:07.860600Z,53.788273,-2.96376,2.088281,336602.419998,432870.492443
67,2018-10-24T14:34:27.536800Z,53.783057,-2.96584,1.727344,336457.492501,432292.048695
68,2018-10-24T14:37:35.077300Z,53.781139,-2.948056,2.010938,337626.414062,432062.86617
69,2018-10-24T14:41:30.847300Z,53.797247,-2.943106,2.26875,337976.389702,433850.62233
70,2018-10-25T10:00:33.340600Z,53.797094,-2.967261,2.423438,336385.144135,433855.011095
71,2018-10-25T10:00:33.645900Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
72,2018-10-25T11:45:06.469700Z,53.790651,-2.95428,2.320312,337230.527399,433126.619735
73,2018-10-25T11:46:44.808700Z,53.788733,-2.959345,1.761719,336893.975671,432917.729904
74,2018-10-25T11:47:22.566500Z,53.788196,-2.961033,1.907813,336781.961139,432859.490116
75,2018-10-25T11:49:41.522100Z,53.788119,-2.965318,2.208594,336499.544643,432854.753823
76,2018-10-25T12:06:05.808400Z,53.788388,-2.961358,1.903516,336760.839104,432881.141017
77,2018-10-25T12:35:23.811100Z,53.778992,-2.955847,1.667188,337109.832676,431830.88539
78,2018-10-25T12:40:53.363400Z,53.787582,-2.971421,2.526563,336096.654903,432800.494757
79,2018-10-25T12:51:40.295900Z,53.790727,-2.961681,1.658594,336743.08506,433141.655003
80,2018-10-25T13:38:29.872100Z,53.788503,-2.959994,1.804688,336850.873396,432892.719248
81,2018-10-25T13:43:51.451000Z,53.788119,-2.96376,2.105469,336602.187386,432853.35916
82,2018-10-25T13:49:19.103200Z,53.78858,-2.960384,1.967969,336825.295893,432901.63343
83,2018-10-25T15:22:37.869300Z,53.78858,-2.960644,1.916406,336808.166991,432901.8652
84,2018-10-25T15:42:04.371500Z,53.789423,-2.980249,1.873438,335517.878113,433013.310158
85,2018-10-25T15:44:30.738200Z,53.782827,-2.963374,1.821875,336619.627593,432264.252297
86,2018-10-25T16:01:59.398500Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
87,2018-10-25T16:26:05.045000Z,53.790651,-2.959474,2.457813,336888.361377,433131.232155
88,2018-10-25T16:31:02.768800Z,53.791878,-2.957395,3.007812,337027.16117,433265.893076
89,2018-10-25T16:31:02.968600Z,53.786585,-2.963761,1.830469,336599.804475,432682.694774
90,2018-10-25T16:35:18.620600Z,53.794486,-2.967522,1.546875,336363.997789,433565.09187
91,2018-10-25T17:01:55.308100Z,53.788503,-2.975575,2.354688,335824.389751,432906.713643
92,2018-10-25T17:21:34.787200Z,53.788273,-2.960904,1.882031,336790.575748,432867.941712
93,2018-10-25T17:36:55.422800Z,53.787582,-2.968824,2.526563,336267.750204,432798.15655
94,2018-10-25T17:43:39.959600Z,53.78881,-2.960514,1.873438,336817.077681,432927.337987
95,2018-10-25T18:29:17.067800Z,53.788503,-2.962072,1.907813,336713.973692,432894.572628
96,2018-10-25T18:47:44.457400Z,53.786585,-2.954413,2.019531,337215.683703,432674.373944
97,2018-10-25T19:09:29.872200Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
98,2018-10-25T21:04:48.738400Z,53.788963,-2.964409,1.753125,336560.706251,432947.83914
99,2018-10-25T21:50:15.695500Z,53.78858,-2.960384,1.847656,336825.295893,432901.63343
100,2018-10-25T23:40:22.764800Z,53.788311,-2.961618,1.929297,336743.594077,432872.806379
101,2018-10-25T04:53:24.783500Z,53.781293,-2.982587,1.71875,335351.333655,432110.937719
102,2018-10-26T00:38:01.626100Z,53.788426,-2.96376,2.294531,336602.6511,432887.514472
103,2018-10-26T00:38:01.773000Z,53.788733,-2.957787,1.641406,336996.61697,432916.343885
104,2018-10-26T09:30:31.826900Z,53.793259,-2.944669,2.371875,337867.534754,433408.30484
105,2018-10-26T11:38:47.143900Z,53.78881,-2.959994,1.804688,336851.3353,432926.874573
106,2018-10-26T12:00:25.234100Z,53.79648,-2.95947,1.598438,336897.39081,433779.735309
107,2018-10-26T12:05:42.989000Z,53.78835,-2.976874,1.615625,335738.576835,432890.868531
108,2018-10-26T12:08:47.511600Z,53.788196,-2.963111,2.045313,336645.060448,432861.345506
109,2018-10-26T12:20:24.895400Z,53.788119,-2.9635,2.053906,336619.316472,432853.126637
110,2018-10-26T12:21:49.211000Z,53.78858,-2.961163,1.899219,336773.975067,432902.328037
111,2018-10-26T12:39:17.019400Z,53.791111,-2.943113,0.06875,337966.858241,433167.965342
112,2018-10-26T13:09:02.654400Z,53.788273,-2.962721,2.002344,336670.870211,432869.563623
113,2018-10-26T13:27:32.698100Z,53.778531,-2.952991,1.753125,337297.34163,431777.066806
114,2018-10-26T13:47:39.463600Z,53.788503,-2.961033,1.873438,336782.423541,432893.645437
115,2018-10-26T14:19:16.058200Z,53.792798,-2.942851,2.285938,337986.610894,433355.423848
116,2018-10-26T14:31:02.763700Z,53.794946,-2.96051,1.839063,336826.578606,433609.996241
117,2018-10-26T14:50:58.053200Z,53.78881,-2.958956,1.735938,336919.718782,432925.950279
118,2018-10-26T14:51:38.204600Z,53.78881,-2.959994,1.804688,336851.3353,432926.874573
119,2018-10-26T15:34:11.007500Z,53.788119,-2.961423,1.658594,336756.151528,432851.271388
120,2018-10-26T16:03:47.016400Z,53.78881,-2.959475,1.735938,336885.52704,432926.412301
121,2018-10-26T16:43:16.857800Z,53.796327,-2.961288,1.890625,336777.412225,433764.333493
122,2018-10-26T17:07:28.600100Z,53.791878,-2.967783,2.389063,336342.849444,433275.172846
123,2018-10-26T17:16:11.690000Z,53.788273,-2.956489,1.624219,337081.439861,432864.01351
124,2018-10-26T17:16:22.663100Z,53.78881,-2.955839,1.426562,337125.066904,432923.180733
125,2018-10-26T17:19:30.644600Z,53.788886,-2.95545,1.400781,337150.808055,432931.291122
126,2018-10-26T17:36:34.761300Z,53.798781,-2.959208,2.371875,336918.10782,434035.500514
127,2018-10-26T18:06:44.265000Z,53.788963,-2.954022,2.646875,337244.999753,432938.59248
128,2018-10-26T18:38:00.106600Z,53.788311,-2.962656,1.998047,336675.209799,432873.733243
129,2018-10-26T18:38:00.224900Z,53.786662,-2.961034,1.770312,336779.58478,432688.825685
130,2018-10-26T21:46:25.302000Z,53.788886,-2.958306,1.658594,336962.654958,432933.827383
131,2018-10-26T22:44:53.973500Z,53.788119,-2.971031,1.692969,336123.166077,432859.887161
132,2018-10-26T22:55:56.733600Z,53.780219,-2.953769,1.701562,337248.59735,431965.553741
133,2018-10-26T23:13:23.775100Z,53.788733,-2.957787,1.607031,336996.61697,432916.343885
134,2018-10-26T23:35:19.862700Z,53.788273,-2.961423,1.933594,336756.383576,432868.404675
135,2018-10-26T06:00:45.163000Z,53.791878,-2.952201,2.526563,337369.317268,433261.290739
136,2018-10-27T00:17:50.526500Z,53.787813,-2.961163,1.882031,336772.819662,432816.995365
137,2018-10-27T00:47:13.120000Z,53.778531,-2.960261,1.684375,336818.276526,431783.52194
138,2018-10-27T10:47:37.802100Z,53.788273,-2.959345,1.641406,336893.284037,432866.552541
139,2018-10-27T11:00:26.959000Z,53.788503,-2.95584,1.082813,337124.541119,432889.026282
140,2018-10-27T11:01:50.071300Z,53.783747,-2.96597,1.71875,336449.971475,432368.931173
141,2018-10-27T11:03:25.371400Z,53.798014,-2.962066,2.423438,336728.7107,433952.715435
142,2018-10-27T11:24:42.313900Z,53.794333,-2.956355,1.632812,337099.351366,433538.101176
143,2018-10-27T11:29:13.405500Z,53.788119,-2.964539,2.174219,336550.866013,432854.05621
144,2018-10-27T11:37:11.320400Z,53.787582,-2.969863,2.526563,336199.298902,432799.091262
145,2018-10-27T11:41:38.670700Z,53.788388,-2.961747,1.920703,336735.211515,432881.488156
146,2018-10-27T11:44:04.108900Z,53.78973,-2.964149,2.045313,336578.994004,433032.939127
147,2018-10-27T12:04:21.579500Z,53.788158,-2.964214,2.126953,336572.336304,432858.104279
148,2018-10-27T12:22:03.016500Z,53.788426,-2.961163,1.882031,336773.743081,432885.194748
149,2018-10-27T12:47:56.675400Z,53.786355,-2.975576,1.701562,335821.039652,432667.738903
150,2018-10-27T13:05:39.548900Z,53.786969,-2.963112,2.320312,336643.142487,432724.836414
151,2018-10-27T13:12:03.435000Z,53.781293,-2.943123,2.26875,337951.6876,432075.670034
152,2018-10-27T14:08:24.460500Z,53.787889,-2.942337,2.423438,338013.219792,432808.821787
153,2018-10-27T14:08:24.557000Z,53.779759,-2.955067,1.753125,337162.379073,431915.526261
154,2018-10-27T17:42:28.869200Z,53.788618,-2.960449,1.834766,336821.070869,432905.919062
155,2018-10-27T20:01:11.843200Z,53.78835,-2.961293,1.890625,336765.064098,432876.855331
156,2018-10-27T21:41:03.121800Z,53.787582,-2.968824,1.804688,336267.750204,432798.15655
157,2018-10-27T06:13:19.778900Z,53.78858,-2.960384,1.830469,336825.295893,432901.63343
158,2018-10-27T08:02:36.444700Z,53.791303,-2.942139,0.004297,338031.305498,433188.474314
159,2018-10-28T11:41:08.529300Z,53.787966,-2.962981,2.036719,336653.27785,432835.640644
160,2018-10-28T20:26:02.345600Z,53.788733,-2.958306,1.641406,336962.425162,432916.805344
161,2018-10-28T23:14:14.567400Z,53.798168,-2.965443,2.371875,336506.515644,433972.868921
162,2018-10-28T06:15:04.412700Z,53.788273,-2.957528,1.400781,337012.98961,432864.936322
163,2018-10-28T07:04:41.726200Z,53.783287,-2.976096,2.285938,335782.086873,432326.879803
164,2018-10-28T08:02:05.565400Z,53.78183,-2.96662,1.658594,336404.240368,432156.238356
165,2018-10-28T08:29:33.570800Z,53.788273,-2.9635,2.088281,336619.549021,432870.259921
166,2018-10-29T11:30:39.274400Z,53.788196,-2.97194,2.526563,336063.397493,432869.273358
167,2018-10-29T12:04:16.181600Z,53.78858,-2.962202,1.985156,336705.525344,432903.255352
168,2018-10-29T12:09:17.156800Z,53.788503,-2.959994,1.770312,336850.873396,432892.719248
169,2018-10-29T12:09:54.641500Z,53.78881,-2.958956,1.735938,336919.718782,432925.950279
170,2018-10-29T12:10:38.534100Z,53.78881,-2.960514,1.804688,336817.077681,432927.337987
171,2018-10-29T12:36:05.468600Z,53.78835,-2.968564,1.684375,336286.045315,432883.366671
172,2018-10-29T13:38:28.208400Z,53.788119,-2.962721,2.002344,336670.63785,432852.430338
173,2018-10-29T17:18:49.632900Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
174,2018-10-29T18:09:10.598300Z,53.790804,-2.974795,1.615625,335879.29192,433162.005478
175,2018-10-29T18:10:15.249200Z,53.78881,-2.967265,2.045313,336372.321704,432933.377116
176,2018-10-29T01:12:35.244900Z,53.78881,-2.957917,1.598438,336988.16815,432925.026095
177,2018-10-29T20:26:31.171400Z,53.778838,-2.961818,2.40625,336716.138962,431819.066063
178,2018-10-29T23:21:19.171900Z,53.780219,-2.966231,1.632812,336427.432572,431976.657737
179,2018-10-29T03:45:21.234300Z,53.788196,-2.962072,1.976563,336713.51079,432860.41731
180,2018-10-29T08:03:33.261600Z,53.78858,-2.959086,1.727344,336910.808651,432900.477301
181,2018-10-29T08:28:14.456600Z,53.786892,-2.961943,1.796094,336720.043521,432715.225496
182,2018-10-30T00:38:42.803400Z,53.787582,-2.966747,2.423438,336404.586943,432796.291029
183,2018-10-30T14:04:24.949400Z,53.79019,-2.970641,1.753125,336152.010232,433089.944949
184,2018-10-30T15:06:34.392900Z,53.78858,-2.959605,1.761719,336876.616723,432900.939387
185,2018-10-30T15:18:09.354800Z,53.792875,-2.966095,2.569531,336455.556426,433384.579489
186,2018-10-30T17:40:37.894400Z,53.78858,-2.962202,1.950781,336705.525344,432903.255352
187,2018-10-30T22:43:00.093600Z,53.786969,-2.967266,2.389063,336369.464955,432728.557473
188,2018-10-30T04:18:50.897900Z,53.784131,-2.957271,1.796094,337023.706931,432403.889285
189,2018-10-30T06:17:59.947400Z,53.788426,-2.959345,1.864844,336893.51408,432883.574577
190,2018-10-30T06:27:59.236600Z,53.786048,-2.954803,0.807813,337189.185554,432614.975459
191,2018-10-30T07:01:18.224800Z,53.790727,-2.957526,1.882031,337016.804143,433137.954736
192,2018-10-31T00:55:02.045400Z,53.792185,-2.956356,1.701562,337096.065726,433299.125784
193,2018-10-31T13:39:50.897600Z,53.78835,-2.959216,1.753125,336901.898429,432875.00434
194,2018-10-31T13:46:22.866900Z,53.783172,-2.953312,1.671484,337283.122381,432293.685506
195,2018-10-31T13:56:06.865500Z,53.793105,-2.973496,1.907813,335968.376777,433416.829007
